time_s	ee_error_m	orientation_error	base_x_m	base_y_m	base_z_m	roll_deg	pitch_deg	clearance_m	leg_action_delta_l2	arm_action_delta_l2	update_ms
0.01	0.299490918	0.0199789391	1.83754202e-05	-3.22974891e-07	0.542737436	-0.00618621241	-0.0103586942	0.306110587	0	0	22.272345
0.02	0.297632828	0.0201058955	7.25712976e-05	-1.22740651e-05	0.541246175	-0.0123541441	-0.0195313592	0.305884416	0.0762884886	0.0219104747	18.958759
0.03	0.294483106	0.0203883095	0.000142018117	-1.74181789e-05	0.53919815	-0.0276380254	-0.00223187803	0.30576777	0.076737458	0.0218483491	17.806157
0.04	0.289943753	0.0209212716	0.000251032728	2.77793009e-05	0.536687269	-0.0861927334	0.0185031041	0.305675955	0.0783295411	0.0217000917	21.770154
0.05	0.28397664	0.0217648291	0.000352290039	0.000132697758	0.53390879	-0.171100547	0.0668252136	0.305599722	0.0662432404	0.0214643217	18.173896
0.06	0.276610201	0.0229273978	0.000410447699	0.000273244096	0.530886316	-0.255281247	0.152574239	0.305599332	0.0667589176	0.0211345212	19.186964
0.07	0.26794755	0.0244367452	0.00041731135	0.000442690325	0.527807323	-0.332519091	0.284623461	0.305555684	0.0515196886	0.0207010237	23.048282
0.08	0.258143566	0.0263329627	0.000376397836	0.000653165079	0.524932909	-0.408979825	0.475774217	0.305307127	0.0802508637	0.0201708562	19.662046
0.09	0.247530707	0.0286035681	0.000334836185	0.00082269069	0.522002211	-0.41542317	0.626318862	0.304724005	0.0614176523	0.0195575647	18.629134
0.1	0.236398567	0.0311773816	0.000277285698	0.0010795947	0.519079887	-0.492560194	0.765358381	0.303894005	0.0531428822	0.0190071845	19.614503
0.11	0.225039352	0.0340627495	0.000231438086	0.00135342589	0.51662516	-0.54035253	0.936453502	0.302623895	0.0748452758	0.0184873237	20.974835
0.12	0.213662127	0.0371983955	0.000201071812	0.00163715336	0.514703127	-0.573343638	1.16630343	0.301067611	0.0735600162	0.0179814161	24.675574
0.13	0.202118587	0.0402008535	0.000254690683	0.00191245903	0.512577247	-0.590108121	1.52758029	0.30018677	0.0525459092	0.0174321472	19.494796
0.14	0.190798701	0.0433884185	0.000399362287	0.00217804618	0.51088649	-0.574281754	1.86306909	0.298912311	0.0821076206	0.0164707686	22.54243
0.15	0.179820168	0.0466764596	0.000611963166	0.00245946058	0.509508947	-0.549124535	2.20075961	0.297546076	0.0531725746	0.0157095129	20.413586
0.16	0.169266088	0.0499359836	0.000920726888	0.00272548642	0.508295221	-0.492106618	2.54465072	0.296289035	0.05872638	0.0150194408	18.533245
0.17	0.159263862	0.0531424325	0.00133437169	0.00296448829	0.507314224	-0.397170329	2.87729596	0.295077568	0.0544919171	0.01433556	22.745747
0.18	0.149924551	0.0562869749	0.0018004755	0.00315158893	0.506666155	-0.274636434	3.19641033	0.293902224	0.0732002156	0.0137339582	22.436205
0.19	0.141347862	0.0593399675	0.00232217352	0.00329421277	0.506351556	-0.147298495	3.48705952	0.29276524	0.056835906	0.0132572488	17.09934
0.2	0.13355205	0.0622333143	0.00291267638	0.00339795191	0.506359955	-0.0379137134	3.76209809	0.291756554	0.0479754525	0.0129517778	19.877135
0.21	0.126728343	0.0648010481	0.00355597533	0.00346227803	0.506054763	0.0449030109	3.87867511	0.290933825	0.0618965242	0.012740175	17.506186
0.22	0.120782001	0.0671353968	0.00415587069	0.00346228431	0.506365631	0.129531767	4.04520132	0.290269512	0.0746123103	0.0130479211	17.037291
0.23	0.115096282	0.0688336769	0.00482236155	0.00345472198	0.506516374	0.211358336	4.35362842	0.290602023	0.0640683601	0.0132119608	18.08622
0.24	0.11005577	0.0705591561	0.00544290701	0.00340089196	0.507299588	0.25312415	4.59911367	0.290716378	0.0470079146	0.0124944608	20.735731
0.25	0.105710432	0.0723302531	0.00612171041	0.00331931176	0.508490176	0.258574674	4.75227715	0.290618322	0.0752945874	0.0124223374	18.428833
0.26	0.102082431	0.0740999464	0.00681650052	0.00321595172	0.510093409	0.24041434	4.84204551	0.290404624	0.0551551516	0.012918083	19.131456
0.27	0.0991592828	0.0757272129	0.00753429543	0.0030786599	0.511844079	0.212088391	4.85958743	0.290226401	0.0680803836	0.0137632034	20.728498
0.28	0.0968846018	0.0772078264	0.00825617489	0.00290869613	0.513888482	0.171488418	4.85114494	0.290099825	0.0788668971	0.0148525161	17.829852
0.29	0.0951650143	0.0785362146	0.00902810778	0.00270333192	0.516153474	0.139051962	4.8173304	0.290036579	0.0577846709	0.0159706686	17.129188
0.3	0.0939483563	0.0797362036	0.00989705831	0.00248121433	0.518528804	0.0971186102	4.72636437	0.289974539	0.0588048631	0.0170793886	19.161886
0.31	0.0931524082	0.0808343584	0.0108354291	0.00222924045	0.521020817	0.057318671	4.58990725	0.289931809	0.0445895	0.0183384404	18.919202
0.32	0.092648342	0.0818577393	0.0118109554	0.00194760629	0.523649483	0.0138280898	4.43269616	0.289952779	0.0301102383	0.0196778377	18.127631
0.33	0.092041881	0.0825019289	0.0129217952	0.00170655038	0.525742219	-0.0443422367	4.30075789	0.290527857	0.0745329046	0.0209675694	18.67485
0.34	0.0915034883	0.0832459972	0.0140120966	0.00141357738	0.527881793	-0.0951244675	4.08225361	0.290937804	0.0666011442	0.0215101338	18.172474
0.35	0.0909312989	0.0841081889	0.0150718187	0.00107337913	0.530001011	-0.138710908	3.81528393	0.291246385	0.0402336753	0.0226538236	17.600312
0.36	0.0902140901	0.0850252378	0.0161163899	0.000704224121	0.531884837	-0.189617607	3.50395263	0.29151634	0.0745649692	0.0239710182	19.939594
0.37	0.0892095317	0.0859719738	0.0171251468	0.000305884291	0.533472694	-0.257377434	3.17838673	0.291793835	0.0732141428	0.0252727607	20.002866
0.38	0.0877478204	0.0869892725	0.018030059	-0.000112232151	0.53481029	-0.357527452	2.87346437	0.291959933	0.0574935977	0.0263191989	19.549494
0.39	0.0856704541	0.0881198127	0.0188604457	-0.000544839966	0.535812714	-0.482618435	2.58935055	0.292012955	0.119969896	0.0269660213	17.868643
0.4	0.0828725362	0.0894603883	0.0196434956	-0.000999708409	0.5364867	-0.607595375	2.31188171	0.29192672	0.088002757	0.0272264281	18.210755
0.41	0.0792398162	0.091059767	0.0203700536	-0.00147294344	0.536837269	-0.730104235	2.05605921	0.29168643	0.0869547786	0.0272806198	18.880995
0.42	0.0747050714	0.0930031983	0.0210577383	-0.00195101875	0.536935565	-0.852891268	1.82227668	0.291198629	0.0465632984	0.0270509441	16.940403
0.43	0.0692674381	0.0953638152	0.0217165249	-0.00243319895	0.5368414	-0.968038857	1.59685147	0.290370536	0.0833226301	0.0266270368	17.125786
0.44	0.0629600601	0.0981296989	0.0223789892	-0.00291177491	0.53651331	-1.06204811	1.37596065	0.289197736	0.0966570943	0.0261947634	17.062034
0.45	0.0558422705	0.101271949	0.0230410591	-0.00337810097	0.535946521	-1.14780194	1.16107293	0.287700712	0.0923336522	0.0257235818	19.588293
0.46	0.0479511568	0.104753613	0.0236612018	-0.00381580462	0.535203123	-1.24937128	0.988342846	0.285972773	0.103902981	0.0251952509	19.50551
0.47	0.0393926441	0.108579076	0.0242427944	-0.00423769255	0.534330129	-1.35032482	0.839624923	0.28399186	0.121483892	0.0243427896	18.921856
0.48	0.0302951389	0.11270995	0.02478695	-0.00464275152	0.533341255	-1.42562661	0.711314067	0.281796576	0.0923084309	0.0234322561	17.935949
0.49	0.0206711656	0.117308596	0.0252483168	-0.00512854922	0.53283624	-1.29710939	0.761968029	0.279497855	0.0675576532	0.0224998377	16.274159
0.5	0.0108549213	0.12241202	0.0255262776	-0.00567921852	0.532763659	-1.08208832	0.825295861	0.276975997	0.0595346789	0.0204049864	16.251263
0.51	0.00334257738	0.128012631	0.0256152706	-0.00622842913	0.533333279	-0.906177094	0.961921005	0.2742964	0.0900418715	0.0192167292	18.835913
0.52	0.0106526849	0.133983902	0.0255765539	-0.00677464209	0.534411068	-0.749827369	1.12546198	0.271382301	0.0621393877	0.00227708854	18.371046
0.53	0.0197697878	0.139879312	0.0254700906	-0.00726070146	0.535558719	-0.663924291	1.33012206	0.26841483	0.0514106858	0.0025534728	16.037961
0.54	0.0279487083	0.14560648	0.0252795605	-0.0077627876	0.537001583	-0.518395306	1.50168731	0.265263721	0.0406764901	0.00289754203	19.956485
0.55	0.0347951294	0.150889018	0.0250093087	-0.00828374779	0.53863737	-0.336558625	1.65300838	0.26208128	0.0467580211	0.00267740479	20.240027
0.56	0.0401411377	0.155427632	0.0246792348	-0.00881741484	0.54029909	-0.134064931	1.78654723	0.259066737	0.0620101713	0.00224196223	18.841887
0.57	0.043894632	0.159052537	0.0242962578	-0.00935553586	0.542005085	0.0657970081	1.86657396	0.256326958	0.0659990698	0.00187431579	19.476436
