time_s	goal_index	ee_error_m	base_x_m	base_y_m	base_z_m	roll_deg	pitch_deg	clearance_m	action_delta_l2	update_ms
0.39	0	0.12134645	-0.030235203	0.00195684654	0.534736958	-0.380628405	-0.330074171	0.156558002	0.12227527	23.691895
0.4	0	0.113015527	-0.0311291685	0.00155394835	0.534496548	-0.44285821	-0.391897675	0.155734891	0.0940394856	22.796652
0.41	0	0.104367548	-0.0322091013	0.00113000252	0.534191828	-0.507127039	-0.411475452	0.154868755	0.105597266	19.280694
0.42	0	0.0953740571	-0.0333622118	0.000709385831	0.533762738	-0.559657253	-0.418066192	0.153942454	0.129572361	19.497444
0.43	0	0.0859659115	-0.0346745231	0.000292791738	0.533271954	-0.612541005	-0.371181152	0.152981705	0.106765783	19.440931
0.44	0	0.076329035	-0.0360305344	-0.000176725121	0.532202196	-0.542011013	-0.392077337	0.151904387	0.156783034	19.434414
0.45	0	0.0663745955	-0.0374530783	-0.000631695303	0.530992245	-0.492126389	-0.390526293	0.150778474	0.135706029	22.856679
0.46	0	0.0560860097	-0.0389398308	-0.00104121843	0.529718138	-0.497177292	-0.339563564	0.149626048	0.152383915	19.699172
0.47	0	0.0455852306	-0.0405219976	-0.00141661779	0.528318547	-0.53480771	-0.250587083	0.148432574	0.135351322	19.089489
0.48	0	0.0349428201	-0.0421835452	-0.00186323319	0.527296165	-0.428761762	-0.0292816704	0.147277766	0.137823369	19.216347
0.49	0	0.0251859847	-0.0439552586	-0.002232562	0.527189074	-0.405612177	0.191458676	0.145958504	0.100962475	19.165858
0.5	0	0.0194160171	-0.0457563341	-0.0025205091	0.527774735	-0.398321483	0.397639748	0.144490205	0.0767445377	27.211699
0.51	0	0.0220792037	-0.0476178093	-0.00269351085	0.52883258	-0.494208004	0.639719675	0.142957229	0.113235438	18.853679
0.52	0	0.0319424517	-0.0494060431	-0.0027716994	0.530363469	-0.552017917	0.820318842	0.141404106	0.0799131793	18.940267
0.53	0	0.0444394192	-0.0510481409	-0.00277963461	0.532225699	-0.584678009	0.930226069	0.139946345	0.0621440962	19.537526
0.54	0	0.0575371393	-0.0525448262	-0.00272315434	0.534143113	-0.570276585	0.977533886	0.138670976	0.074027221	18.969401
0.55	0	0.0704257996	-0.0538965968	-0.00260463392	0.536129718	-0.54146288	0.979816923	0.137599309	0.107518588	19.526843
0.56	0	0.082515071	-0.0551294943	-0.0024319374	0.5380543	-0.496293345	0.940428197	0.136708785	0.0591978888	19.150121
0.57	0	0.0932771504	-0.0562774974	-0.0021715077	0.539773665	-0.501698759	0.84852334	0.135941773	0.0749614991	19.541689
0.58	0	0.102237688	-0.0573840548	-0.001827877	0.541137928	-0.528031469	0.725591072	0.135297205	0.109231714	19.197724
0.59	0	0.109077581	-0.0584922003	-0.00141927015	0.54231082	-0.545127059	0.564676709	0.134711541	0.0525480546	19.37781
0.6	0	0.113561268	-0.0595847743	-0.000951848693	0.543158265	-0.589147706	0.369214387	0.134180252	0.108035387	19.466196
0.61	0	0.115580292	-0.0606577702	-0.000411246748	0.543599291	-0.67606511	0.147495036	0.133708426	0.121350849	19.459298
0.62	0	0.11518778	-0.0617492346	0.000163120734	0.543686188	-0.745900349	-0.048656076	0.133355871	0.122552422	24.594855
0.63	0	0.112534233	-0.0628893613	0.000766490127	0.543364707	-0.802930689	-0.208936869	0.13312256	0.0896157516	18.972843
0.64	0	0.107937779	-0.0641613295	0.00139520186	0.542843451	-0.814284167	-0.304154156	0.133011924	0.174606444	19.205649
0.65	0	0.101803499	-0.0655601022	0.00203654871	0.542152268	-0.763643908	-0.322344486	0.133028392	0.0929069919	19.276121
0.66	0	0.0945821525	-0.067051586	0.00268087696	0.54126249	-0.671245383	-0.284478518	0.13313605	0.084898531	19.399879
0.67	0	0.0866286873	-0.0685658038	0.00340725034	0.539784744	-0.640085359	-0.303174998	0.133208175	0.0924198776	19.384064
0.68	0	0.0785683971	-0.0701301766	0.00412344215	0.538215434	-0.530950501	-0.272646001	0.133380724	0.146079872	33.759431
0.69	0	0.0707860296	-0.0717078152	0.00484684956	0.536461444	-0.39503737	-0.218519703	0.133615803	0.143909108	25.68267
0.7	0	0.06361662	-0.0732806922	0.00560408321	0.534586836	-0.266702137	-0.169619452	0.133856946	0.100249623	25.93223
0.71	0	0.0573570334	-0.0748575123	0.00638339783	0.532606647	-0.125725971	-0.109819959	0.134123217	0.13956235	21.635002
0.72	0	0.0521656229	-0.0764367321	0.00717704995	0.530432806	0.00134881839	-0.0463914415	0.134396859	0.152743559	20.100003
0.73	0	0.0481064689	-0.0779992237	0.00797515733	0.527850874	0.102425061	0.0184436028	0.134679067	0.15333101	20.560522
0.74	0	0.0451367923	-0.0795096379	0.00879676042	0.524779463	0.137207604	0.0493849796	0.134908381	0.118185603	19.909165
0.75	0	0.0433649228	-0.0812269346	0.00959032788	0.522834553	0.100907204	0.168695254	0.135093057	0.0603610214	20.706504
0.76	0	0.0426050304	-0.0830101769	0.0103581444	0.521707373	0.0517448839	0.344787366	0.135222546	0.082348595	19.955266
0.77	0	0.0426805401	-0.0848184365	0.0110560831	0.521230325	0.0611425684	0.583768179	0.135324557	0.0932411346	19.43686
0.78	0	0.0430414225	-0.086530175	0.0118045294	0.521115354	-0.0455295004	0.780711101	0.135258983	0.0774075296	24.8836
0.79	0	0.0438528819	-0.0880111675	0.0125750202	0.521487666	-0.119366137	0.902130827	0.135025474	0.128828152	18.833063
0.8	0	0.0449541534	-0.0892616784	0.0133563766	0.522201862	-0.187803043	0.955593566	0.13466522	0.0695935791	18.975392
0.81	0	0.0462560406	-0.0903470622	0.0141428261	0.523160833	-0.258864253	0.94973048	0.134205769	0.098060078	24.76284
0.82	0	0.0477024135	-0.0912838461	0.0149503997	0.524277921	-0.329159236	0.901864515	0.13368691	0.0562624172	22.333188
0.83	0	0.0492689686	-0.092069433	0.0157786555	0.525523821	-0.372224685	0.818985036	0.13312581	0.0453897053	21.374711
0.84	0	0.0508141456	-0.0927739719	0.0165746742	0.526852224	-0.434164495	0.721304783	0.132539707	0.0819924348	20.538285
0.85	0	0.0523012039	-0.0933894731	0.0173839024	0.528170328	-0.496985059	0.602438558	0.131930672	0.12277117	20.391592
0.86	0	0.0534836348	-0.0939204877	0.0182811863	0.528877703	-0.638983015	0.541976277	0.131450459	0.143318192	21.039993
0.87	0	0.0546707605	-0.0944254675	0.0191505961	0.529562582	-0.698255141	0.426078715	0.130889308	0.109728208	20.851054
0.88	0	0.0558301953	-0.0949912633	0.0199584327	0.53026149	-0.681415231	0.284481189	0.130302746	0.136463458	19.713141
0.89	0	0.0569137502	-0.0955793041	0.0207229044	0.530952793	-0.627431369	0.11182174	0.129697092	0.0859993021	19.947862
0.9	0	0.0578903631	-0.0962370107	0.0214494343	0.531680135	-0.550759974	-0.0666251624	0.129109994	0.07286614	20.517167
0.91	0	0.058718817	-0.097004257	0.0221475167	0.532433613	-0.480942145	-0.202649057	0.128604372	0.0753719582	19.664109
0.92	0	0.059404501	-0.0979025484	0.0227979577	0.533252441	-0.392543892	-0.303879272	0.128156153	0.104275063	19.000955
0.93	0	0.0599624287	-0.0989703595	0.0233863972	0.534207314	-0.273937348	-0.363062993	0.127759983	0.157036391	19.111043
0.94	0	0.0603107086	-0.100200847	0.0238408346	0.534852486	-0.0176725508	-0.451598095	0.127370291	0.121330624	19.593524
0.95	0	0.060602508	-0.101579271	0.0242580259	0.535594185	0.126713735	-0.46719176	0.127055999	0.0931760917	19.254062
0.96	0	0.0608508666	-0.103092001	0.0246286605	0.536241712	0.228088048	-0.438392754	0.12679551	0.0868246643	21.29567
0.97	0	0.0610458366	-0.104638808	0.024944799	0.536560948	0.316499934	-0.419301109	0.126538271	0.135769231	19.408508
0.98	0	0.0612138181	-0.106154816	0.0252339621	0.53647032	0.372133537	-0.404389727	0.126303129	0.140151219	18.964988
0.99	0	0.061331928	-0.107629645	0.025499138	0.53592987	0.428752895	-0.39704678	0.126091968	0.0708886674	18.835827
1	0	0.061602416	-0.109197598	0.025671436	0.536022862	0.428896379	-0.331030973	0.125869796	0.0534215099	19.234871
1.01	0	0.0619278777	-0.110753693	0.0257728344	0.536408447	0.414668648	-0.276232539	0.125585833	0.0734225939	25.660475
1.02	0	0.0622127354	-0.11231311	0.0258203443	0.536827976	0.383833089	-0.245061493	0.125257822	0.107353191	22.349751
1.03	0	0.0623944746	-0.113831601	0.0258293355	0.537208221	0.321718642	-0.25445989	0.124876359	0.0506670318	21.354587
1.04	0	0.0624187034	-0.115341394	0.0258039763	0.537567801	0.212872434	-0.263878223	0.124498641	0.105784312	19.838717
1.05	0	0.062114766	-0.116896496	0.0257202073	0.538105486	0.202259691	-0.266317473	0.124129348	0.112114855	24.891617
1.06	0	0.0614923438	-0.118460788	0.0255682366	0.538856793	0.276395519	-0.262664053	0.123750963	0.0643370838	18.793668
1.07	0	0.0606033695	-0.120013801	0.0253967261	0.5396697	0.389211731	-0.255261325	0.123359557	0.0734772381	18.761329
1.08	0	0.0595102177	-0.121568161	0.0251971391	0.540446972	0.516215809	-0.240131695	0.122962198	0.0554444825	18.734117
