time_s	goal_index	ee_error_m	base_x_m	base_y_m	base_z_m	roll_deg	pitch_deg	clearance_m	action_delta_l2	update_ms
0.43	0	0.0383053245	0.0433386471	-0.00263353609	0.545641201	-2.28007309	0.799541934	0.388197233	0.0826613395	18.490342
0.44	0	0.037567487	0.0440511311	-0.00240535268	0.546683197	-2.25200772	0.715784007	0.386832051	0.0910458317	18.882943
0.45	0	0.0383028876	0.0446162134	-0.00222219406	0.547645497	-2.14679684	0.651738843	0.386463886	0.0796125184	18.571188
0.46	0	0.0393206167	0.0449732525	-0.00210410171	0.54850848	-1.96495819	0.657517071	0.387158509	0.102656846	19.088041
0.47	0	0.0396760154	0.0451252786	-0.00207379463	0.549308782	-1.713018	0.717967501	0.38806314	0.0800173119	17.271684
0.48	0	0.0396186604	0.0451159014	-0.00213909194	0.550039422	-1.40658777	0.846908968	0.388485515	0.0536397095	18.675775
0.49	0	0.0385825294	0.0450148322	-0.0022870678	0.550617973	-1.0868754	1.01367467	0.388831285	0.0543013166	17.891126
0.5	0	0.0372372262	0.044826716	-0.00248167146	0.550950544	-0.794771254	1.19582869	0.389563019	0.0755264937	19.970631
0.51	0	0.0351341745	0.0445951885	-0.00268242353	0.550988019	-0.585006099	1.40104465	0.390616314	0.0975827322	18.716794
0.52	0	0.0330211673	0.0443724302	-0.00285987841	0.550774689	-0.477625245	1.6046732	0.392020099	0.074191457	19.022045
0.53	0	0.030326772	0.0441127099	-0.00301576499	0.550392152	-0.432058912	1.79374998	0.393246613	0.0444321143	19.58391
0.54	0	0.0277134665	0.0438153272	-0.00314476815	0.549844107	-0.445653198	1.9543362	0.394446355	0.0509950854	19.381593
0.55	0	0.0256515102	0.0434476686	-0.00324703732	0.549224788	-0.488571391	2.09177722	0.395649073	0.0574076103	19.244503
0.56	0	0.0241134731	0.0429922212	-0.00331138277	0.548444647	-0.571770296	2.20277637	0.397083879	0.055768307	17.981325
0.57	0	0.0222962694	0.0424562895	-0.0033135007	0.547493782	-0.724934202	2.28174032	0.398574418	0.0677495181	19.791484
0.58	0	0.0193939302	0.0418371721	-0.00323020429	0.546427402	-0.933760799	2.3290341	0.399994714	0.0544159089	21.505296
0.59	0	0.0157041292	0.0412286564	-0.00316150272	0.544923358	-1.08331617	2.40774478	0.401386338	0.0666074462	18.485807
0.6	0	0.0122159345	0.0405602024	-0.00301147979	0.543687992	-1.29855867	2.42066743	0.402282019	0.0539518124	19.254713
0.61	0	0.0103641523	0.0398587124	-0.00279391315	0.542593578	-1.51359779	2.39371802	0.402753679	0.0646300507	20.466164
0.62	0	0.0117836742	0.0391254848	-0.00255552996	0.541714961	-1.67544217	2.36953478	0.402916267	0.0621288327	18.487695
0.63	0	0.0156207329	0.0383404407	-0.00226631406	0.540844103	-1.84570423	2.37550268	0.403103048	0.0706401353	19.087276
