time_s	box_x_m	box_y_m	box_z_m	box_error_m	box_progress_m	box_lateral_error_m	box_tilt_deg	ee_contact_error_m	contact_engaged	base_x_m	base_y_m	base_z_m	roll_deg	pitch_deg	clearance_m	leg_action_delta_l2	arm_action_delta_l2	update_ms
0.24	1	-7.50150692e-20	0.189997667	2.82842712	-5.30436641e-20	5.30436641e-20	0	0.580426078	0	-0.0103038184	0.00315273039	0.523527967	-0.243233434	1.15814148	0.378632282	0.0519604475	0.0553551287	19.32581
0.25	1	-7.20144665e-20	0.189998109	2.82842712	-5.09219176e-20	5.09219176e-20	0	0.557477275	0	-0.00909690153	0.00305477125	0.524326856	-0.28432409	1.13236099	0.372590996	0.0626406342	0.0528504964	19.288338
0.26	1	-7.50150692e-20	0.189998448	2.82842712	-5.30436641e-20	5.30436641e-20	0	0.534917087	0	-0.00771036004	0.00292021439	0.525190214	-0.323402687	1.06463379	0.366121035	0.0365460493	0.0501487988	19.122464
0.27	1	-6.60132609e-20	0.189998708	2.82842712	-4.66784244e-20	4.66784244e-20	0	0.512942219	0	-0.00613851276	0.00273284517	0.525917392	-0.340855848	0.952469748	0.359541722	0.0605098434	0.0476602795	20.365208
0.28	1	-7.50150692e-20	0.189998908	2.82842712	-5.30436641e-20	5.30436641e-20	0	0.491678813	0	-0.00436212435	0.00248241513	0.526558119	-0.333376099	0.823786855	0.353154129	0.0692877924	0.045373163	18.636234
0.29	1	-8.10162748e-20	0.189999061	2.82842712	-5.72871573e-20	5.72871573e-20	0	0.47127367	0	-0.00240065624	0.0021815111	0.527099297	-0.304716427	0.689720922	0.347033709	0.0356697903	0.0432710004	20.382059
0.3	1	-8.10162748e-20	0.189999178	2.82842712	-5.72871573e-20	5.72871573e-20	0	0.451899061	0	-0.000240542439	0.00185374238	0.527494585	-0.279106261	0.522771092	0.341094372	0.0609329799	0.0413610279	19.632894
0.31	1	-8.10162748e-20	0.189999268	2.82842712	-5.72871573e-20	5.72871573e-20	0	0.433681262	0	0.00206738605	0.00148919521	0.527823484	-0.246030782	0.350519438	0.335373248	0.0401797324	0.0395675875	19.6916
0.32	1	-7.8015672e-20	0.189999336	2.82842712	-5.51654107e-20	5.51654107e-20	0	0.416714352	0	0.00447316089	0.00108520343	0.528188566	-0.210290831	0.198152689	0.329754095	0.0296467873	0.037880151	23.333928
0.33	1	-8.10162748e-20	0.189999389	2.82842712	-5.72871573e-20	5.72871573e-20	0	0.401127391	0	0.00696624653	0.000661351844	0.528466782	-0.188189792	0.0413273583	0.324384124	0.0789873815	0.0362625953	20.536001
0.34	1	-8.10162748e-20	0.18999943	2.82842712	-5.72871573e-20	5.72871573e-20	0	0.386994762	0	0.0095037043	0.00018679366	0.528664277	-0.155035295	-0.120520435	0.319277537	0.0602077416	0.0346214853	18.91311
0.35	1	-8.40168775e-20	0.189999461	2.82842712	-5.94089038e-20	5.94089038e-20	0	0.374318148	0	0.012023909	-0.000351129407	0.528853257	-0.113535244	-0.255142109	0.314522509	0.0670260901	0.0329400681	19.714704
0.36	1	-8.70174803e-20	0.189999485	2.82842712	-6.15306504e-20	6.15306504e-20	0	0.363118923	0	0.0145467315	-0.000936197248	0.528855791	-0.0749071643	-0.38125842	0.310098707	0.0803321194	0.0312074309	20.43834
0.37	1	-7.8015672e-20	0.189999503	2.82842712	-5.51654107e-20	5.51654107e-20	0	0.353358925	0	0.0170907297	-0.00157684076	0.528629321	-0.0435010318	-0.496318157	0.306020439	0.0848122765	0.0293607878	21.738188
0.38	1	-7.50150692e-20	0.189999517	2.82842712	-5.30436641e-20	5.30436641e-20	0	0.344955887	0	0.0196323388	-0.00225861372	0.528181207	-0.0408151128	-0.577068317	0.30235106	0.063780451	0.0273934415	20.061702
0.39	1	-8.10162748e-20	0.189999528	2.82842712	-5.72871573e-20	5.72871573e-20	0	0.337821735	0	0.0222094343	-0.00297529914	0.527449661	-0.0621505377	-0.633141503	0.299068292	0.115159812	0.0253134765	18.944685
0.4	1	-8.40168775e-20	0.189999536	2.82842712	-5.94089038e-20	5.94089038e-20	0	0.331844532	0	0.0248434184	-0.00373072299	0.526439672	-0.0882939563	-0.676263831	0.296142297	0.0860489942	0.0231494274	19.335812
0.41	1	-8.70174803e-20	0.189999542	2.82842712	-6.15306504e-20	6.15306504e-20	0	0.326821957	0	0.0275392505	-0.00453258845	0.525126499	-0.109226999	-0.698830215	0.293724851	0.117524539	0.0128884841	19.203684
0.42	1	-9.00180831e-20	0.189999547	2.82842712	-6.3652397e-20	6.3652397e-20	0	0.323181378	0	0.0303495234	-0.00536914081	0.523518556	-0.112759811	-0.678328086	0.29249631	0.0690002717	0.0125457401	20.148245
0.43	1	-8.70174803e-20	0.189999551	2.82842712	-6.15306504e-20	6.15306504e-20	0	0.320892628	0	0.033268886	-0.00623943494	0.521631235	-0.103992873	-0.647165463	0.291937997	0.0835423083	0.01220952	19.198873
0.44	1	-9.00180831e-20	0.189999553	2.82842712	-6.3652397e-20	6.3652397e-20	0	0.319807647	0	0.0362873141	-0.00713003758	0.519469	-0.0967504163	-0.60555316	0.291675217	0.0907444137	0.0120047698	20.163131
0.45	1	-9.30186858e-20	0.189999556	2.82842712	-6.57741435e-20	6.57741435e-20	0	0.319766983	0	0.0393999885	-0.00803200757	0.517018245	-0.109156613	-0.561520004	0.291528536	0.0784781521	0.0119408763	19.730652
0.46	1	-9.90198914e-20	0.189999557	2.82842712	-7.00176367e-20	7.00176367e-20	0	0.320462393	0	0.0425775064	-0.00892910112	0.514365384	-0.169952175	-0.493733769	0.29142708	0.0970399373	0.0119773362	20.245357
0.47	1	-9.90198914e-20	0.189999559	2.82842712	-7.00176367e-20	7.00176367e-20	0	0.321560148	0	0.0458136544	-0.00982840816	0.511522814	-0.257151943	-0.414036056	0.291337043	0.0962770177	0.0120925126	19.115389
0.48	1	-9.30186858e-20	0.18999956	2.82842712	-6.57741435e-20	6.57741435e-20	0	0.32265999	0	0.0491293977	-0.0107358931	0.508500369	-0.338971739	-0.336563914	0.291231896	0.0916268767	0.0123012828	19.578747
0.49	1	-8.40168775e-20	0.18999956	2.82842712	-5.94089038e-20	5.94089038e-20	0	0.32303853	0	0.0524108801	-0.0117677304	0.505844758	-0.250724068	-0.128307764	0.291401126	0.0695414136	0.0126097313	20.072333
0.5	1	-8.70174803e-20	0.189999561	2.82842712	-6.15306504e-20	6.15306504e-20	0	0.322483793	0	0.0555758246	-0.012902393	0.503510012	-0.0597118566	0.0501514964	0.291210241	0.0637573958	0.0128732883	19.383588
0.51	1	-7.8015672e-20	0.189999561	2.82842712	-5.51654107e-20	5.51654107e-20	0	0.320597914	0	0.0586309286	-0.01405661	0.501788656	0.044641601	0.276029348	0.290828804	0.0782255094	0.0132415718	19.069123
0.52	1	-8.40168775e-20	0.189999562	2.82842712	-5.94089038e-20	5.94089038e-20	0	0.317196773	0	0.0616238721	-0.0151641588	0.5003912	0.0336366288	0.557149065	0.290508933	0.0698346441	0.00947544822	19.866473
0.53	1	-8.10162748e-20	0.189999562	2.82842712	-5.72871573e-20	5.72871573e-20	0	0.312096439	0	0.0645302887	-0.0163011283	0.499599741	0.0685142884	0.818467916	0.290215058	0.0553280566	0.00929750491	19.220058
0.54	1	-8.40168775e-20	0.189999562	2.82842712	-5.94089038e-20	5.94089038e-20	0	0.305369402	0	0.0673570044	-0.0174876993	0.499241697	0.139723481	1.04945173	0.289998131	0.0513726088	0.00885173893	19.094815
0.55	1	6.83537311e-18	0.189999562	2.82842712	4.83333868e-18	4.83333868e-18	0	0.297300852	0	0.0700914785	-0.0187113741	0.49919255	0.250832285	1.24946585	0.289872488	0.0691752318	0.00829551588	18.853926
0.56	1	6.47230017e-18	0.189999562	2.82842712	4.57660734e-18	4.57660734e-18	0	0.28831917	0	0.0727468784	-0.0199698301	0.499319606	0.405280416	1.41472568	0.289837947	0.0547010565	0.00768241942	19.715755
0.57	1	6.48730319e-18	0.189999562	2.82842712	4.58721608e-18	4.58721608e-18	0	0.279026622	0	0.0753356624	-0.0212423788	0.499570524	0.578897518	1.51988655	0.289863989	0.0741775106	0.00709619535	19.11876
0.58	1	6.496305e-18	0.189999563	2.82842712	4.59358131e-18	4.59358131e-18	0	0.2699685	0	0.0778801361	-0.0225050399	0.49982043	0.769005381	1.57230624	0.289945499	0.0729148975	0.00661591541	20.972736
0.59	1	6.496305e-18	0.189999563	2.82842712	4.59358131e-18	4.59358131e-18	0	0.261165105	0	0.0804031053	-0.0238652777	0.49959281	1.07274629	1.67720086	0.290301494	0.0516526461	0.00629770371	19.592703
