time_s	goal_index	ee_error_m	base_x_m	base_y_m	base_z_m	roll_deg	pitch_deg	clearance_m	action_delta_l2	update_ms
1.58	1	0.0420140914	0.0849690768	-0.0116273451	0.517543077	2.42404069	6.12111932	0.132268408	0.0547860851	28.062274
1.59	1	0.0418540102	0.0850560552	-0.0120541912	0.51955583	2.57031446	6.0638835	0.131843825	0.0501925273	22.667549
1.6	1	0.0423312635	0.0851574606	-0.0125819008	0.521693882	2.70926059	5.91369355	0.131338753	0.124204293	22.871317
1.61	1	0.0433234567	0.0852853918	-0.0131923193	0.523762523	2.82966306	5.70926128	0.130823977	0.0777000224	21.687946
1.62	1	0.0446921279	0.0855056768	-0.0138641945	0.525627743	2.92130337	5.44632083	0.130283265	0.101757023	21.880745
1.63	1	0.0462520343	0.0857839106	-0.01455164	0.52711696	2.9394079	5.16083476	0.129755394	0.137054978	21.332328
1.64	1	0.0477724165	0.0860976325	-0.015251322	0.528154383	2.89337279	4.87176227	0.129234883	0.113660888	29.472203
1.65	1	0.0490264904	0.086433474	-0.015972599	0.528895916	2.81379074	4.59427944	0.128684341	0.0997521085	23.153275
1.66	1	0.0498596201	0.0867861394	-0.0167109696	0.529389886	2.71024831	4.32352735	0.128061299	0.116500537	22.588022
1.67	1	0.0501941127	0.0871742972	-0.0174521261	0.529695769	2.56143877	4.03627705	0.12730988	0.0940895975	22.022956
1.68	1	0.0499869427	0.0876150415	-0.0181791068	0.529856287	2.34382125	3.70840104	0.126392451	0.135032036	22.707328
1.69	1	0.0491313272	0.0880902318	-0.0188960028	0.529812775	2.07984178	3.35820619	0.125361653	0.115632231	32.284773
1.7	1	0.0474682031	0.0886617376	-0.0196206281	0.529489848	1.81679352	2.99945536	0.124264646	0.160127575	24.695652
1.71	1	0.0448117838	0.0893049516	-0.0203716957	0.529000073	1.61669539	2.67108144	0.1231501	0.138582853	34.309555
1.72	1	0.0410471062	0.0900122759	-0.0211556864	0.528422925	1.47709887	2.39119194	0.122027622	0.101510025	23.415414
1.73	1	0.0361780722	0.0907122687	-0.0219658011	0.527662175	1.36756519	2.14654078	0.120876018	0.172597299	28.406456
1.74	1	0.0300501055	0.0912064429	-0.022785344	0.527880336	1.2970971	2.0635146	0.119727162	0.102900958	23.100439
1.75	1	0.0229383622	0.0915716478	-0.0235526248	0.528493386	1.13133207	2.02643855	0.118539253	0.0850280611	22.745235
1.76	1	0.0151127836	0.0919562403	-0.0243209699	0.529681482	1.00904544	2.08486823	0.117441054	0.108401142	23.713496
1.77	1	0.00805176932	0.0924623478	-0.0250556267	0.531278449	0.837934523	2.15706981	0.116354609	0.121992261	21.912903
1.78	1	0.00910619749	0.093100888	-0.0257902443	0.532774741	0.675201295	2.27297685	0.115427451	0.0682008794	22.260845
1.79	1	0.0173298302	0.0938242913	-0.0264110442	0.5345285	0.371345083	2.39537195	0.114538288	0.113386215	28.287731
1.8	1	0.0268268331	0.0946183021	-0.0268915421	0.536432952	-0.022738759	2.51682928	0.113703179	0.0591938873	24.198115
1.81	1	0.0363157054	0.0954044708	-0.0272424948	0.538431487	-0.444279818	2.62598478	0.112918002	0.0780870569	20.915275
1.82	1	0.0452716202	0.0961743017	-0.0274450232	0.54055971	-0.895699996	2.71478576	0.112172763	0.0814519808	21.159275
1.83	1	0.0533445639	0.0969241159	-0.0274879979	0.542740006	-1.34784775	2.75931741	0.111450877	0.0927331255	20.649493
1.84	1	0.0602476068	0.0976428018	-0.0273439976	0.544899962	-1.79983361	2.75344416	0.110764703	0.0911425132	21.379661
1.85	1	0.0657956118	0.0983464827	-0.0269986104	0.546709969	-2.29924153	2.76681522	0.110276704	0.114481881	22.378734
1.86	1	0.0698558572	0.0990695476	-0.0265455751	0.548267425	-2.66955603	2.75284844	0.109875398	0.141661444	29.943557
1.87	1	0.0723182624	0.0997381349	-0.0260380223	0.549419104	-2.92854337	2.74975832	0.10963211	0.136815532	24.769107
1.88	1	0.0731542679	0.100358058	-0.0255300915	0.550043418	-3.05427852	2.74047541	0.109516749	0.0940207063	21.767364
1.89	1	0.072448966	0.100910536	-0.0250293712	0.550127956	-3.06541508	2.73749879	0.109534321	0.0516599483	28.499861
1.9	1	0.070364942	0.101453938	-0.0245724886	0.549809753	-2.94137203	2.69789329	0.10958705	0.153279339	24.366551
1.91	1	0.0671452493	0.10197738	-0.0241624713	0.549170606	-2.7261581	2.64116041	0.109699795	0.061939589	27.86034
1.92	1	0.0630623974	0.102467412	-0.0237985302	0.54823448	-2.4310754	2.57489931	0.109884684	0.0665000177	30.243088
1.93	1	0.0583703542	0.102906227	-0.0235071059	0.547078495	-2.06032649	2.47746704	0.110097413	0.111121806	28.417125
1.94	1	0.0533277107	0.103330536	-0.0232638838	0.545734693	-1.6608678	2.36704083	0.110368775	0.0976222801	29.038949
1.95	1	0.0481399988	0.103774691	-0.023076127	0.544264232	-1.23535294	2.22927659	0.110664731	0.0868534839	25.472319
1.96	1	0.0429824449	0.104255797	-0.0229470794	0.542725059	-0.772153436	2.06479826	0.11097574	0.0936749901	23.089758
1.97	1	0.0379838207	0.104746526	-0.0228746757	0.541120684	-0.286494836	1.90068488	0.11133531	0.176060992	22.18945
1.98	1	0.0332157872	0.105293084	-0.0228659173	0.539549461	0.221010202	1.71387257	0.111674521	0.150471573	22.395727
1.99	1	0.0284354433	0.105814125	-0.0228321466	0.53824931	0.57386919	1.45244001	0.111860712	0.123098231	22.14351
2	1	0.023652999	0.106380084	-0.0226582868	0.536686767	0.719065631	1.19503987	0.11210912	0.0890507748	22.278579
2.01	1	0.0194566839	0.106803681	-0.0225693958	0.536002842	0.944025625	1.0822935	0.11244417	0.0634192195	23.781341
2.02	1	0.0159018483	0.107157368	-0.0226218569	0.535623468	1.27183456	0.991741648	0.112719278	0.0845786166	22.030128
2.03	1	0.0130973111	0.107449584	-0.0227471969	0.536021022	1.52612189	0.97420769	0.112930918	0.0710271033	22.181184
2.04	1	0.011347214	0.107697136	-0.0229674435	0.537077605	1.73800956	1.00718339	0.113056676	0.0843283983	23.174076
2.05	1	0.0108742686	0.107961325	-0.0232476949	0.538444205	1.85542454	1.02759236	0.113049017	0.119128061	35.836206
2.06	1	0.0116605068	0.108258884	-0.0235787134	0.539987972	1.91511235	1.03403204	0.112940144	0.0765360148	34.781831
2.07	1	0.0132942131	0.108569277	-0.0239875599	0.541625985	1.95830496	1.06705817	0.112814857	0.0741222034	23.315317
