target_index	target_x_m	target_y_m	target_z_m	seed	mode	success	success_time_s	episode_duration_s	initial_error_m	error_rmse_m	error_mean_m	error_auc_m_s	steady_error_mean_m	steady_error_p95_m	minimum_clearance_m	collision_violation_fraction	final_base_xy_displacement_m	maximum_base_xy_displacement_m	minimum_base_height_m	maximum_base_height_m	maximum_abs_roll_pitch_deg	mean_leg_action_delta	mean_arm_action_delta	latency_median_ms	latency_p95_ms
0	0.7664	0.0	0.85	42	arm_ik_nominal	0	nan	9.999999999999831	0.30003843541564473	1.4805021443578075	1.1308880747165484	11.295953558487831	2.7466758420489317	2.903031286380915	0.08881422996425117	0.0	2.336824361857459	2.336824361857459	0.5217616300329322	0.5533351640635015	5.524915862034286	0.0822360179370042	0.05517204445344673	16.374721000829595	18.96848200012755
0	0.7664	0.0	0.85	42	arm_fixed_same_cost	1	2.5999999999999885	9.999999999999831	0.30003843541564473	0.04391721866632361	0.024719167157912992	0.248663054567039	0.005897089765504302	0.012579222764731427	0.09602038941189873	0.0	0.4408834625842999	0.4408834625842999	0.5138926342598703	0.5535637649971337	4.327789133979065	0.06898611613496931	0.005859552647128916	18.36382199962827	20.513429599941446
0	0.7664	0.0	0.85	42	whole_body_mppi	1	0.6700000000000004	9.999999999999831	0.30003843541564473	0.0399884283391855	0.021842056782992423	0.21989018072674685	0.014470618016820005	0.021962951795075427	0.30715222673278486	0.0	0.1759671075114141	0.1759671075114141	0.5102667819003016	0.5539943834421982	3.824556536203153	0.06588191647892072	0.015282159673715323	18.251571499604324	20.48213919997579
1	0.704	0.0	0.3	42	arm_ik_nominal	0	nan	9.999999999999831	0.6499159223643346	1.3407090768981769	1.1343146613263912	11.335408828359107	2.4217612489442946	2.807740218044139	0.25102646900075415	0.0	2.385962704760315	2.385962704760315	0.5214829048303419	0.5569378291990569	7.301391804854969	0.08433601325412826	0.05401181949177856	17.10241450018657	23.881542049275595
1	0.704	0.0	0.3	42	arm_fixed_same_cost	0	nan	9.999999999999831	0.6499159223643346	0.1787691103056158	0.146724816988461	1.4692502662810625	0.2559120048738832	0.30043889120398765	0.2807686302913034	0.0	0.35321256959581515	0.35494820421707507	0.4617978100178885	0.5498932442541155	12.790941847125039	0.07965240702782492	0.005171985299689217	18.317994000426552	20.395661650400143
1	0.704	0.0	0.3	42	whole_body_mppi	1	0.6700000000000004	9.999999999999831	0.6499159223643346	0.11652134541550094	0.0950527994667173	0.9531016116672704	0.11994384814848962	0.1371457409408597	0.2552163432828862	0.0	0.2663026605342758	0.26659206233348953	0.4742515050046389	0.543542	6.211749661417382	0.0752876509172641	0.01934208761030191	18.385531000603805	20.640135850135266
